feature,importance
q25_intensity,0.12310292212075566
max_intensity,0.07977068846109293
std_intensity,0.07808136677523544
intensity_range,0.07450877095986068
median_intensity,0.06675006403885918
point_cell_ratio,0.05776838328302149
isosurface_points,0.05528093542578531
voxel_ratio,0.05232810407186526
high_intensity_ratio,0.05058852685414461
voxel_count,0.05041606909228478
mean_intensity,0.050143657127428014
isosurface_cells,0.04835826061652359
high_intensity_voxels,0.04574170696097425
point_density,0.044851364069107384
q75_intensity,0.04348793230403346
iqr_intensity,0.041173822116962876
cell_density,0.037647425722065066
min_intensity,0.0
